"scientific_name","timePeriod","n_grids"
"Alauda gulgula","2021",255
"Alauda gulgula","2022",198
"Alauda gulgula","pre2000",54
"Alaudala raytal","2000-2006",18
"Alaudala raytal","2007-2010",26
"Alaudala raytal","2011-2012",20
"Alaudala raytal","2013",25
"Alaudala raytal","2014",30
"Alaudala raytal","2015",30
"Alaudala raytal","2016",46
"Alaudala raytal","2017",46
"Alaudala raytal","2018",46
"Alaudala raytal","2019",58
"Alaudala raytal","2020",61
"Alaudala raytal","2021",70
"Alaudala raytal","2022",55
"Alaudala raytal","pre2000",11
"Alcedo atthis","2000-2006",168
"Alcedo atthis","2007-2010",227
"Alcedo atthis","2011-2012",230
"Alcedo atthis","2013",188
"Alcedo atthis","2014",335
"Alcedo atthis","2015",446
"Alcedo atthis","2016",535
"Alcedo atthis","2017",611
"Alcedo atthis","2018",669
"Alcedo atthis","2019",715
"Alcedo atthis","2020",787
"Alcedo atthis","2021",907
"Alcedo atthis","2022",805
"Alcedo atthis","pre2000",172
"Alcedo hercules","2000-2006",1
"Alcedo hercules","2007-2010",2
"Alcedo hercules","2011-2012",1
"Alcedo hercules","2013",1
"Alcedo hercules","2014",1
"Alcedo hercules","2015",1
"Alcedo hercules","2018",2
"Alcedo hercules","2019",3
"Alcedo hercules","2020",3
"Alcedo hercules","2021",3
"Alcedo hercules","2022",3
"Alcedo hercules","pre2000",3
"Alcedo meninting","2000-2006",9
"Alcedo meninting","2007-2010",13
"Alcedo meninting","2011-2012",11
"Alcedo meninting","2013",9
"Alcedo meninting","2014",16
"Alcedo meninting","2015",23
"Alcedo meninting","2016",29
"Alcedo meninting","2017",34
"Alcedo meninting","2018",34
"Alcedo meninting","2019",35
"Alcedo meninting","2020",35
"Alcedo meninting","2021",38
"Alcedo meninting","2022",43
"Alcedo meninting","pre2000",5
"Alcippe nipalensis","2000-2006",17
"Alcippe nipalensis","2007-2010",8
"Alcippe nipalensis","2011-2012",11
"Alcippe nipalensis","2013",6
"Alcippe nipalensis","2014",9
"Alcippe nipalensis","2015",16
"Alcippe nipalensis","2016",21
"Alcippe nipalensis","2017",26
"Alcippe nipalensis","2018",29
"Alcippe nipalensis","2019",31
"Alcippe nipalensis","2020",22
"Alcippe nipalensis","2021",37
"Alcippe nipalensis","2022",36
"Alcippe nipalensis","pre2000",6
"Alcippe poioicephala","2000-2006",47
"Alcippe poioicephala","2007-2010",64
"Alcippe poioicephala","2011-2012",51
"Alcippe poioicephala","2013",38
"Alcippe poioicephala","2014",64
"Alcippe poioicephala","2015",72
"Alcippe poioicephala","2016",85
"Alcippe poioicephala","2017",102
"Alcippe poioicephala","2018",112
"Alcippe poioicephala","2019",119
"Alcippe poioicephala","2020",119
"Alcippe poioicephala","2021",150
"Alcippe poioicephala","2022",124
"Alcippe poioicephala","pre2000",48
"Alectoris chukar","2000-2006",16
"Alectoris chukar","2007-2010",12
"Alectoris chukar","2011-2012",13
"Alectoris chukar","2013",18
"Alectoris chukar","2014",19
"Alectoris chukar","2015",11
"Alectoris chukar","2016",35
"Alectoris chukar","2017",36
"Alectoris chukar","2018",26
"Alectoris chukar","2019",30
"Alectoris chukar","2020",24
"Alectoris chukar","2021",50
"Alectoris chukar","2022",45
"Alectoris chukar","pre2000",11
"Alophoixus flaveolus","2000-2006",18
"Alophoixus flaveolus","2007-2010",10
"Alophoixus flaveolus","2011-2012",14
"Alophoixus flaveolus","2013",10
"Alophoixus flaveolus","2014",15
"Alophoixus flaveolus","2015",22
"Alophoixus flaveolus","2016",28
"Alophoixus flaveolus","2017",24
"Alophoixus flaveolus","2018",30
"Alophoixus flaveolus","2019",33
"Alophoixus flaveolus","2020",28
"Alophoixus flaveolus","2021",50
"Alophoixus flaveolus","2022",40
"Alophoixus flaveolus","pre2000",11
"Amandava amandava","2000-2006",41
"Amandava amandava","2007-2010",54
"Amandava amandava","2011-2012",65
"Amandava amandava","2013",64
"Amandava amandava","2014",109
"Amandava amandava","2015",147
"Amandava amandava","2016",213
"Amandava amandava","2017",239
"Amandava amandava","2018",257
"Amandava amandava","2019",279
"Amandava amandava","2020",342
"Amandava amandava","2021",356
