"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Maroon Oriole","Oriolus traillii","X","X","None","","","Diurnal","Diurnal","X"
"Ashy Woodswallow","Artamus fuscus","X","X","None","","","Diurnal","Diurnal","X"
"White-breasted Woodswallow","Artamus leucorynchus","","","None","","","Diurnal","Diurnal",""
"Malabar Woodshrike","Tephrodornis sylvicola","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Large Woodshrike","Tephrodornis virgatus","X","X","None","","","Diurnal","Diurnal","X"
"Common Woodshrike","Tephrodornis pondicerianus","X","X","None","","","Diurnal","Diurnal","X"
"Bar-winged Flycatcher-shrike","Hemipus picatus","X","X","None","","","Diurnal","Diurnal","X"
"Common Iora","Aegithina tiphia","X","X","None","","","Diurnal","Diurnal","X"
"Marshall's Iora","Aegithina nigrolutea","","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-throated Fantail","Rhipidura albicollis","X","X","None","","","Diurnal","Diurnal","X"
"Spot-breasted Fantail","Rhipidura albogularis","X","X","Mainland India","","","Diurnal","Diurnal","X"
"White-browed Fantail","Rhipidura aureola","X","X","None","","","Diurnal","Diurnal","X"
"Black Drongo","Dicrurus macrocercus","X","X","None","","","Diurnal","Diurnal","X"
"Ashy Drongo","Dicrurus leucophaeus","X","X","None","","","Diurnal","Diurnal","X"
"White-bellied Drongo","Dicrurus caerulescens","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Crow-billed Drongo","Dicrurus annectens","","","None","","","Diurnal","Diurnal",""
"Bronzed Drongo","Dicrurus aeneus","X","X","None","","","Diurnal","Diurnal","X"
"Lesser Racket-tailed Drongo","Dicrurus remifer","X","X","None","","","Diurnal","Diurnal","X"
"Hair-crested Drongo","Dicrurus hottentottus","X","X","None","","","Diurnal","Diurnal","X"
"Andaman Drongo","Dicrurus andamanensis","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Greater Racket-tailed Drongo","Dicrurus paradiseus","X","X","None","","","Diurnal","Diurnal","X"
