"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Black-naped Monarch","Hypothymis azurea","X","X","None","","","Diurnal","Diurnal","X"
"Amur Paradise-flycatcher","Terpsiphone incei","","","None","","X","Diurnal","Diurnal",""
"Blyth's Paradise-flycatcher","Terpsiphone affinis","","","None","X","","Diurnal","Diurnal","X"
"Indian Paradise-flycatcher","Terpsiphone paradisi","X","X","None","","","Diurnal","Diurnal","X"
"Red-backed Shrike","Lanius collurio","","","None","","","Diurnal","Diurnal",""
"Red-tailed Shrike","Lanius phoenicuroides","","","None","","","Diurnal","Diurnal",""
"Isabelline Shrike","Lanius isabellinus","X","X","None","","","Diurnal","Diurnal","X"
"Brown Shrike","Lanius cristatus","X","X","None","","","Diurnal","Diurnal","X"
"Burmese Shrike","Lanius collurioides","","","None","","X","Diurnal","Diurnal",""
"Bay-backed Shrike","Lanius vittatus","X","X","None","","","Diurnal","Diurnal","X"
"Long-tailed Shrike","Lanius schach","X","X","None","","","Diurnal","Diurnal","X"
"Grey-backed Shrike","Lanius tephronotus","X","X","None","","","Diurnal","Diurnal","X"
"Great Grey Shrike","Lanius excubitor","X","X","None","","","Diurnal","Diurnal","X"
"Lesser Grey Shrike","Lanius minor","","","None","","X","Diurnal","Diurnal",""
"Masked Shrike","Lanius nubicus","","","None","","X","Diurnal","Diurnal",""
"Woodchat Shrike","Lanius senator","","","None","","X","Diurnal","Diurnal",""
"Eurasian Jay","Garrulus glandarius","","X","None","","","Diurnal","Diurnal","X"
"Black-headed Jay","Garrulus lanceolatus","X","X","Western Himalayas","","","Diurnal","Diurnal","X"
"Yellow-billed Blue Magpie","Urocissa flavirostris","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Red-billed Blue Magpie","Urocissa erythroryncha","X","X","None","","","Diurnal","Diurnal","X"
"Common Green Magpie","Cissa chinensis","X","X","None","","","Diurnal","Diurnal","X"
"Rufous Treepie","Dendrocitta vagabunda","X","X","None","","","Diurnal","Diurnal","X"
"Grey Treepie","Dendrocitta formosae","X","X","None","","","Diurnal","Diurnal","X"
"White-bellied Treepie","Dendrocitta leucogastra","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Collared Treepie","Dendrocitta frontalis","","","None","X","","Diurnal","Diurnal","X"
"Andaman Treepie","Dendrocitta bayleii","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Eurasian Magpie","Pica pica","","","None","","","Diurnal","Diurnal",""
"Spotted Nutcracker","Nucifraga caryocatactes","","X","None","","","Diurnal","Diurnal","X"
"Large-spotted Nutcracker","Nucifraga multipunctata","","","Western Himalayas","","","Diurnal","Diurnal","X"
"Red-billed Chough","Pyrrhocorax pyrrhocorax","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-billed Chough","Pyrrhocorax graculus","","X","None","","","Diurnal","Diurnal","X"
"Eurasian Jackdaw","Corvus monedula","","","None","","X","Diurnal","Diurnal",""
"House Crow","Corvus splendens","X","X","None","","","Diurnal","Diurnal","X"
"Rook","Corvus frugilegus","","","None","","X","Diurnal","Diurnal",""
"Carrion Crow","Corvus corone","","","None","","X","Diurnal","Diurnal",""
"Hooded Crow","Corvus cornix","","","None","","X","Diurnal","Diurnal",""
"Large-billed Crow","Corvus macrorhynchos","X","X","None","","","Diurnal","Diurnal","X"
"Pied Crow","Corvus albus","","","None","","X","Diurnal","Diurnal",""
"Common Raven","Corvus corax","","X","None","","","Diurnal","Diurnal","X"
"Yellow-bellied Fantail","Chelidorhynx hypoxanthus","X","X","None","","","Diurnal","Diurnal","X"
"Grey-headed Canary-flycatcher","Culicicapa ceylonensis","X","X","None","","","Diurnal","Diurnal","X"
"Fire-capped Tit","Cephalopyrus flammiceps","","","None","","","Diurnal","Diurnal",""
"Yellow-browed Tit","Sylviparus modestus","X","X","None","","","Diurnal","Diurnal","X"
"Sultan Tit","Melanochlora sultanea","","X","None","","","Diurnal","Diurnal","X"
"Coal Tit","Periparus ater","X","X","None","","","Diurnal","Diurnal","X"
"Rufous-naped Tit","Periparus rufonuchalis","","X","None","","","Diurnal","Diurnal","X"
"Rufous-vented Tit","Periparus rubidiventris","","X","None","","","Diurnal","Diurnal","X"
"Grey-crested Tit","Lophophanes dichrous","","X","None","","","Diurnal","Diurnal","X"
"Azure Tit","Cyanistes cyanus","","","None","","X","Diurnal","Diurnal",""
"Ground Tit","Pseudopodoces humilis","","","None","","","Diurnal","Diurnal",""
"Green-backed Tit","Parus monticolus","X","X","None","","","Diurnal","Diurnal","X"
"Cinereous Tit","Parus cinereus","X","X","None","","","Diurnal","Diurnal","X"
"White-naped Tit","Machlolophus nuchalis","","","Mainland India","","","Diurnal","Diurnal","X"
"Himalayan Black-lored Tit","Machlolophus xanthogenys","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Indian Black-lored Tit","Machlolophus aplonotus","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Yellow-cheeked Tit","Machlolophus spilonotus","","X","None","","","Diurnal","Diurnal","X"
"White-crowned Penduline Tit","Remiz coronatus","","","None","","","Diurnal","Diurnal",""
"Greater Hoopoe Lark","Alaemon alaudipes","","","None","","","Diurnal","Diurnal",""
"Rufous-tailed Lark","Ammomanes phoenicura","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Desert Lark","Ammomanes deserti","","","None","","","Diurnal","Diurnal",""
"Black-crowned Sparrow Lark","Eremopterix nigriceps","","","None","","","Diurnal","Diurnal",""
"Ashy-crowned Sparrow Lark","Eremopterix griseus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Singing Bushlark","Mirafra cantillans","","X","None","X","","Diurnal","Diurnal","X"
"Bengal Bushlark","Mirafra assamica","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Jerdon's Bushlark","Mirafra affinis","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Indian Bushlark","Mirafra erythroptera","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Horned Lark","Eremophila alpestris","","X","None","","","Diurnal","Diurnal","X"
"Greater Short-toed Lark","Calandrella brachydactyla","X","X","None","","","Diurnal","Diurnal","X"
"Sykes's Short-toed Lark","Calandrella dukhunensis","","","None","","","Diurnal","Diurnal",""
"Hume's Short-toed Lark","Calandrella acutirostris","","","None","","","Diurnal","Diurnal",""
"Bimaculated Lark","Melanocorypha bimaculata","","","None","","","Diurnal","Diurnal",""
"Tibetan Lark","Melanocorypha maxima","","","None","","X","Diurnal","Diurnal",""
"Lesser Short-toed Lark","Alaudala rufescens","","","None","","X","Diurnal","Diurnal",""
"Sand Lark","Alaudala raytal","X","X","None","","","Diurnal","Diurnal","X"
"Eurasian Skylark","Alauda arvensis","","","None","","","Diurnal","Diurnal",""
"Oriental Skylark","Alauda gulgula","X","X","None","","","Diurnal","Diurnal","X"
"Crested Lark","Galerida cristata","X","X","None","","","Diurnal","Diurnal","X"
"Malabar Lark","Galerida malabarica","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Sykes's Lark","Galerida deva","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Common Tailorbird","Orthotomus sutorius","X","X","None","","","Diurnal","Diurnal","X"
"Dark-necked Tailorbird","Orthotomus atrogularis","","X","None","","","Diurnal","Diurnal","X"
"Striated Prinia","Prinia crinigera","X","X","None","","","Diurnal","Diurnal","X"
"Black-throated Prinia","Prinia atrogularis","","X","Himalayas","","","Diurnal","Diurnal","X"
"Hill Prinia","Prinia superciliaris","","","None","","X","Diurnal","Diurnal",""
"Grey-crowned Prinia","Prinia cinereocapilla","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Rufous-fronted Prinia","Prinia buchanani","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Rufescent Prinia","Prinia rufescens","","X","None","","","Diurnal","Diurnal","X"
"Grey-breasted Prinia","Prinia hodgsonii","X","X","None","","","Diurnal","Diurnal","X"
"Graceful Prinia","Prinia gracilis","X","X","None","","","Diurnal","Diurnal","X"
"Jungle Prinia","Prinia sylvatica","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Yellow-bellied Prinia","Prinia flaviventris","X","X","None","","","Diurnal","Diurnal","X"
"Ashy Prinia","Prinia socialis","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Plain Prinia","Prinia inornata","X","X","None","","","Diurnal","Diurnal","X"
"Zitting Cisticola","Cisticola juncidis","X","X","None","","","Diurnal","Diurnal","X"
"Golden-headed Cisticola","Cisticola exilis","","X","None","X","","Diurnal","Diurnal","X"
"Thick-billed Warbler","Arundinax aedon","X","X","None","","","Diurnal","Diurnal","X"
"Booted Warbler","Iduna caligata","X","X","None","","","24 hour","Diurnal","X"
"Sykes's Warbler","Iduna rama","","","None","","","24 hour","Diurnal",""
"Black-browed Reed Warbler","Acrocephalus bistrigiceps","","","None","","","24 hour","Diurnal",""
"Moustached Warbler","Acrocephalus melanopogon","","","None","","","Diurnal","Diurnal",""
"Sedge Warbler","Acrocephalus schoenobaenus","","","None","","","24 hour","Diurnal",""
"Paddyfield Warbler","Acrocephalus agricola","X","X","None","","","Diurnal","No information","X"
"Blunt-winged Warbler","Acrocephalus concinens","","","None","","X","Diurnal","Diurnal",""
"Blyth's Reed Warbler","Acrocephalus dumetorum","X","X","None","","","24 hour","Diurnal","X"
"Large-billed Reed Warbler","Acrocephalus orinus","","","None","","X","Diurnal","Diurnal",""
"Great Reed Warbler","Acrocephalus arundinaceus","","","None","","","24 hour","Diurnal",""
"Oriental Reed Warbler","Acrocephalus orientalis","","","None","","","24 hour","Diurnal",""
"Clamorous Reed Warbler","Acrocephalus stentoreus","X","X","None","","","24 hour","Diurnal","X"
"Rusty-rumped Warbler","Helopsaltes certhiola","","X","None","","","Diurnal","Diurnal","X"
"Lanceolated Warbler","Locustella lanceolata","","","None","","X","24 hour","Diurnal",""
"Brown Bush Warbler","Locustella luteoventris","","","None","","","Diurnal","Diurnal",""
"Grasshopper Warbler","Locustella naevia","","","None","","","24 hour","Diurnal",""
"Long-billed Bush Warbler","Locustella major","","","None","","X","Diurnal","Diurnal",""
"Chinese Bush Warbler","Locustella tacsanowskia","","","None","","X","24 hour","Diurnal",""
"Baikal Bush Warbler","Locustella davidi","","","None","","","24 hour","Diurnal",""
"West Himalayan Bush Warbler","Locustella kashmirensis","","","Western Himalayas","","","Diurnal","Diurnal","X"
"Spotted Bush Warbler","Locustella thoracica","","X","None","","","Diurnal","Diurnal","X"
"Russet Bush Warbler","Locustella mandelli","","","None","","","Diurnal","Diurnal",""
"Broad-tailed Grassbird","Schoenicola platyurus","","","Western Ghats","","","Diurnal","Diurnal","X"
"Bristled Grassbird","Schoenicola striatus","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Striated Grassbird","Megalurus palustris","X","X","None","","","Diurnal","Diurnal","X"
"Scaly-breasted Wren Babbler","Pnoepyga albiventer","","X","None","","","Diurnal","Diurnal","X"
"Nepal Wren Babbler","Pnoepyga immaculata","","","Himalayas","","","Diurnal","Diurnal","X"
"Pygmy Wren Babbler","Pnoepyga pusilla","","X","None","","","Diurnal","Diurnal","X"
"Grey-throated Martin","Riparia chinensis","X","X","None","","","Diurnal","Diurnal","X"
"Sand Martin","Riparia riparia","","X","None","","","Diurnal","Diurnal","X"
"Pale Martin","Riparia diluta","","","None","","","Diurnal","Diurnal",""
"Eurasian Crag Martin","Ptyonoprogne rupestris","X","X","None","","","Diurnal","Diurnal","X"
"Dusky Crag Martin","Ptyonoprogne concolor","X","X","None","","","Diurnal","Diurnal","X"
"Barn Swallow","Hirundo rustica","X","X","None","","","Diurnal","Diurnal","X"
"Wire-tailed Swallow","Hirundo smithii","X","X","None","","","Diurnal","Diurnal","X"
"Hill Swallow","Hirundo domicola","","","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Pacific Swallow","Hirundo tahitica","","","None","","","Diurnal","Diurnal",""
"Red-rumped Swallow","Cecropis daurica","X","X","None","","","Diurnal","Diurnal","X"
"Striated Swallow","Cecropis striolata","","","None","","","Diurnal","Diurnal",""
"Streak-throated Swallow","Petrochelidon fluvicola","X","X","None","","","Diurnal","Diurnal","X"
"Northern House Martin","Delichon urbicum","","X","None","","","Diurnal","Diurnal","X"
"Asian House Martin","Delichon dasypus","","","None","","","Diurnal","Diurnal",""
"Nepal House Martin","Delichon nipalense","","X","None","","","Diurnal","Diurnal","X"
"Grey-headed Bulbul","Brachypodius priocephalus","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Black-headed Bulbul","Brachypodius melanocephalos","","","None","","X","Diurnal","Diurnal",""
"Andaman Bulbul","Brachypodius fuscoflavescens","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Black-crested Bulbul","Rubigula flaviventris","X","X","None","","","Diurnal","Diurnal","X"
"Flame-throated Bulbul","Rubigula gularis","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Crested Finchbill","Spizixos canifrons","","X","None","","","Diurnal","Diurnal","X"
"Striated Bulbul","Pycnonotus striatus","","X","None","","","Diurnal","Diurnal","X"
"Red-vented Bulbul","Pycnonotus cafer","X","X","None","","","Diurnal","Diurnal","X"
"Red-whiskered Bulbul","Pycnonotus jocosus","X","X","None","","","Diurnal","Diurnal","X"
"White-eared Bulbul","Pycnonotus leucotis","X","X","None","","","Diurnal","Diurnal","X"
"Himalayan Bulbul","Pycnonotus leucogenis","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Yellow-throated Bulbul","Pycnonotus xantholaemus","","X","Southern Deccan Plateau","","","Diurnal","Diurnal","X"
"Flavescent Bulbul","Pycnonotus flavescens","","","None","","","Diurnal","Diurnal",""
"White-browed Bulbul","Pycnonotus luteolus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-throated Bulbul","Alophoixus flaveolus","X","X","None","","","Diurnal","Diurnal","X"
"Gray-eyed Bulbul","Iole propinqua","","","None","","X","Diurnal","Diurnal",""
"Cachar Bulbul","Iole cacharensis","","","Northern Myanmar Lowlands","","","Diurnal","Diurnal","X"
"Yellow-browed Bulbul","Acritillas indica","X","X","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Black Bulbul","Hypsipetes leucocephalus","X","X","None","","","Diurnal","Diurnal","X"
"Square-tailed Bulbul","Hypsipetes ganeesa","X","X","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Nicobar Bulbul","Ixos nicobariensis","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Ashy Bulbul","Hemixos flavala","X","X","None","","","Diurnal","Diurnal","X"
"Mountain Bulbul","Ixos mcclellandii","X","X","None","","","Diurnal","Diurnal","X"
"Wood Warbler","Phylloscopus sibilatrix","","","None","","X","Diurnal","Diurnal",""
"Ashy-throated Warbler","Phylloscopus maculipennis","X","X","None","","","Diurnal","Diurnal","X"
"Buff-barred Warbler","Phylloscopus pulcher","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-browed Warbler","Phylloscopus inornatus","X","X","None","","","Diurnal","Diurnal","X"
"Hume's Warbler","Phylloscopus humei","X","X","None","","","Diurnal","Diurnal","X"
"Brooks's Leaf Warbler","Phylloscopus subviridis","","","None","X","","Diurnal","Diurnal","X"
"Chinese Leaf Warbler","Phylloscopus yunnanensis","","","None","","X","Diurnal","Diurnal",""
"Lemon-rumped Warbler","Phylloscopus chloronotus","X","X","None","","","Diurnal","Diurnal","X"
"Sichuan Leaf Warbler","Phylloscopus forresti","","","None","","X","Diurnal","Diurnal",""
"Tytler's Leaf Warbler","Phylloscopus tytleri","","X","None","X","","Diurnal","Diurnal","X"
"Sulphur-bellied Warbler","Phylloscopus griseolus","X","X","None","","","Diurnal","Diurnal","X"
"Tickell's Leaf Warbler","Phylloscopus affinis","X","X","None","","","Diurnal","Diurnal","X"
"Dusky Warbler","Phylloscopus fuscatus","X","X","None","","","Diurnal","Diurnal","X"
"Smoky Warbler","Phylloscopus fuligiventer","","","None","","","Diurnal","Diurnal",""
"Plain Leaf Warbler","Phylloscopus neglectus","","","None","","X","Diurnal","Diurnal",""
"Buff-throated Warbler","Phylloscopus subaffinis","","","None","","X","Diurnal","Diurnal",""
"Willow Warbler","Phylloscopus trochilus","","","None","","X","24 hour","Diurnal",""
"Mountain Chiffchaff","Phylloscopus sindianus","","","None","","","Diurnal","Diurnal",""
"Common Chiffchaff","Phylloscopus collybita","X","X","None","","","Diurnal","Diurnal","X"
"White-spectacled Warbler","Phylloscopus intermedius","","X","None","","","Diurnal","Diurnal","X"
"Grey-cheeked Warbler","Phylloscopus poliogenys","","X","None","","","Diurnal","Diurnal","X"
"Green-crowned Warbler","Phylloscopus burkii","","","None","","","Diurnal","Diurnal",""
"Grey-crowned Warbler","Phylloscopus tephrocephalus","","","None","","","Diurnal","Diurnal",""
"Whistler's Warbler","Phylloscopus whistleri","X","X","None","","","Diurnal","Diurnal","X"
"Green Warbler","Phylloscopus nitidus","","","None","","","Diurnal","Diurnal",""
"Greenish Warbler","Phylloscopus trochiloides","X","X","None","","","Diurnal","Diurnal","X"
"Two-barred Warbler","Phylloscopus plumbeitarsus","","","None","","X","Diurnal","Diurnal",""
"Large-billed Leaf Warbler","Phylloscopus magnirostris","X","X","None","","","Diurnal","Diurnal","X"
"Pale-legged Leaf Warbler","Phylloscopus tenellipes","","","None","","X","Diurnal","Diurnal",""
"Sakhalin Leaf Warbler","Phylloscopus borealoides","","","None","","","Diurnal","Diurnal",""
"Arctic Warbler","Phylloscopus borealis","","","None","","","Diurnal","Diurnal",""
"Chestnut-crowned Warbler","Phylloscopus castaniceps","X","X","None","","","Diurnal","Diurnal","X"
"Yellow-vented Warbler","Phylloscopus cantator","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Western Crowned Warbler","Phylloscopus occipitalis","X","X","None","","","Diurnal","Diurnal","X"
"Blyth's Leaf Warbler","Phylloscopus reguloides","X","X","None","","","Diurnal","Diurnal","X"
"Claudia's Leaf Warbler","Phylloscopus claudiae","","","None","","X","Diurnal","Diurnal",""
"Grey-hooded Warbler","Phylloscopus xanthoschistos","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Pale-footed Bush Warbler","Urosphena pallidipes","","","None","X","","Diurnal","Diurnal","X"
"Asian Stubtail","Urosphena squameiceps","","","None","","X","Diurnal","Diurnal",""
"Grey-bellied Tesia","Tesia cyaniventer","X","X","None","","","Diurnal","Diurnal","X"
"Slaty-bellied Tesia","Tesia olivea","","","None","","","Diurnal","Diurnal",""
"Chestnut-crowned Bush Warbler","Cettia major","","","None","","","Diurnal","Diurnal",""
"Grey-sided Bush Warbler","Cettia brunnifrons","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-headed Tesia","Cettia castaneocoronata","X","X","None","","","Diurnal","Diurnal","X"
"Cetti's Warbler","Cettia cetti","","","None","","X","Diurnal","Diurnal",""
"Yellow-bellied Warbler","Abroscopus superciliaris","","X","None","","","Diurnal","Diurnal","X"
"Rufous-faced Warbler","Abroscopus albogularis","","","None","","","Diurnal","Diurnal",""
"Black-faced Warbler","Abroscopus schisticeps","","X","None","","","Diurnal","Diurnal","X"
"Mountain Tailorbird","Phyllergates cucullatus","","X","None","","","Diurnal","Diurnal","X"
"Broad-billed Warbler","Tickellia hodgsoni","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Manchurian Bush Warbler","Horornis canturians","","","None","","X","Diurnal","Diurnal",""
"Brownish-flanked Bush Warbler","Horornis fortipes","X","X","None","","","Diurnal","Diurnal","X"
"Hume's Bush Warbler","Horornis brunnescens","","","Himalayas","","","Diurnal","Diurnal","X"
"Aberrant Bush Warbler","Horornis flavolivaceus","","X","None","","","Diurnal","Diurnal","X"
"White-browed Tit Warbler","Leptopoecile sophiae","","","None","","","Diurnal","Diurnal",""
"Crested Tit Warbler","Leptopoecile elegans","","","None","","X","Diurnal","Diurnal",""
"White-cheeked Tit","Aegithalos leucogenys","","","Western Himalayas","","X","Diurnal","Diurnal",""
"Black-throated Tit","Aegithalos concinnus","X","X","None","","","Diurnal","Diurnal","X"
"White-throated Tit","Aegithalos niveogularis","","","Western Himalayas","","","Diurnal","Diurnal","X"
"Black-browed Tit","Aegithalos iouschistos","","","None","","","Diurnal","Diurnal",""
"Eurasian Blackcap","Sylvia atricapilla","","","None","","X","Diurnal","Diurnal",""
"Garden Warbler","Sylvia borin","","","None","","X","Diurnal","Diurnal",""
"Barred Warbler","Curruca nisoria","","","None","","X","Diurnal","Diurnal",""
"Lesser Whitethroat","Curruca curruca","X","X","None","","","Diurnal","Diurnal","X"
"Eastern Orphean Warbler","Curruca crassirostris","X","X","None","","","Diurnal","Diurnal","X"
"Asian Desert Warbler","Curruca nana","","","None","","","Diurnal","Diurnal",""
"Common Whitethroat","Curruca communis","","","None","","","Diurnal","Diurnal",""
"Fire-tailed Myzornis","Myzornis pyrrhoura","","X","Himalayas","","","Diurnal","Diurnal","X"
"Golden-breasted Fulvetta","Lioparus chrysotis","","","None","","","Diurnal","Diurnal",""
"Yellow-eyed Babbler","Chrysomma sinense","X","X","None","","","Diurnal","Diurnal","X"
"Jerdon's Babbler","Chrysomma altirostre","","","None","X","","Diurnal","Diurnal","X"
"Brown-throated Fulvetta","Fulvetta ludlowi","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"White-browed Fulvetta","Fulvetta vinipectus","","","None","","","Diurnal","Diurnal",""
"Manipur Fulvetta","Fulvetta manipurensis","","","None","","","Diurnal","Diurnal",""
"Black-breasted Parrotbill","Paradoxornis flavirostris","","X","Assam Plains","","","Diurnal","Diurnal","X"
"Spot-breasted Parrotbill","Paradoxornis guttaticollis","","","None","","","Diurnal","Diurnal",""
"Great Parrotbill","Conostoma aemodium","","","None","","","Diurnal","Diurnal",""
"Brown Parrotbill","Cholornis unicolor","","","None","","","Diurnal","Diurnal",""
"Grey-headed Parrotbill","Psittiparus gularis","","","None","","","Diurnal","Diurnal",""
"White-breasted Parrotbill","Psittiparus ruficeps","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Rufous-headed Parrotbill","Psittiparus bakeri","","","None","","","Diurnal","Diurnal",""
"Fulvous Parrotbill","Suthora fulvifrons","","","None","","","Diurnal","Diurnal",""
"Black-throated Parrotbill","Suthora nipalensis","","","None","","","Diurnal","Diurnal",""
"Lesser Rufous-headed Parrotbill","Chleuasicus atrosuperciliaris","","","None","","","Diurnal","Diurnal",""
"Striated Yuhina","Staphida castaniceps","","X","None","","","Diurnal","Diurnal","X"
"Black-chinned Yuhina","Yuhina nigrimenta","","X","None","","","Diurnal","Diurnal","X"
"Whiskered Yuhina","Yuhina flavicollis","X","X","None","","","Diurnal","Diurnal","X"
"White-naped Yuhina","Yuhina bakeri","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Stripe-throated Yuhina","Yuhina gularis","","X","None","","","Diurnal","Diurnal","X"
"Rufous-vented Yuhina","Yuhina occipitalis","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Chestnut-flanked White-eye","Zosterops erythropleurus","","","None","","X","Diurnal","Diurnal",""
"Indian White-eye","Zosterops palpebrosus","X","X","None","","","Diurnal","Diurnal","X"
"Chestnut-capped Babbler","Timalia pileata","","X","None","","","Diurnal","Diurnal","X"
"Tawny-bellied Babbler","Dumetia hyperythra","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Dark-fronted Babbler","Dumetia atriceps","X","X","Western Ghats & Sri Lanka","","","Diurnal","Diurnal","X"
"Pin-striped Tit Babbler","Mixornis gularis","X","X","None","","","Diurnal","Diurnal","X"
"Golden Babbler","Cyanoderma chrysaeum","","X","None","","","Diurnal","Diurnal","X"
"Black-chinned Babbler","Cyanoderma pyrrhops","X","X","Himalayas","","","Diurnal","Diurnal","X"
"Rufous-capped Babbler","Cyanoderma ruficeps","","X","None","","","Diurnal","Diurnal","X"
"Buff-chested Babbler","Cyanoderma ambiguum","","X","None","","","Diurnal","Diurnal","X"
"Rufous-throated Wren Babbler","Spelaeornis caudatus","X","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Mishmi Wren Babbler","Spelaeornis badeigularis","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Bar-winged Wren Babbler","Spelaeornis troglodytoides","","","None","","","Diurnal","Diurnal",""
"Naga Wren Babbler","Spelaeornis chocolatinus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Chin Hills Wren Babbler","Spelaeornis oatesi","","","None","","X","Diurnal","Diurnal",""
"Tawny-breasted Wren Babbler","Spelaeornis longicaudatus","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Grey-bellied Wren Babbler","Spelaeornis reptatus","","","None","","X","Diurnal","Diurnal",""
"Coral-billed Scimitar Babbler","Pomatorhinus ferruginosus","","","None","","","Diurnal","Diurnal",""
"Red-billed Scimitar Babbler","Pomatorhinus ochraceiceps","","","None","","","Diurnal","Diurnal",""
"Slender-billed Scimitar Babbler","Pomatorhinus superciliaris","","X","None","","","Diurnal","Diurnal","X"
"Streak-breasted Scimitar Babbler","Pomatorhinus ruficollis","","X","None","","","Diurnal","Diurnal","X"
"White-browed Scimitar Babbler","Pomatorhinus schisticeps","","X","None","","","Diurnal","Diurnal","X"
"Indian Scimitar Babbler","Pomatorhinus horsfieldii","X","X","Mainland India","","","Diurnal","Diurnal","X"
"Large Scimitar Babbler","Erythrogenys hypoleucos","","","None","","","Diurnal","Diurnal",""
"Rusty-cheeked Scimitar Babbler","Erythrogenys erythrogenys","X","X","None","","","Diurnal","Diurnal","X"
"Spot-breasted Scimitar Babbler","Erythrogenys mcclellandi","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Grey-throated Babbler","Stachyris nigriceps","","X","None","","","Diurnal","Diurnal","X"
"Sikkim Wedge-billed Babbler","Stachyris humei","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Cachar Wedge-billed Babbler","Stachyris roberti","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Snowy-throated Babbler","Stachyris oglei","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Indian Grassbird","Graminicola bengalensis","","","Indian Subcontinent","","","Diurnal","Diurnal","X"
"White-hooded Babbler","Gampsorhynchus rufulus","","","None","","","Diurnal","Diurnal",""
"Yellow-throated Fulvetta","Schoeniparus cinereus","","X","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Rufous-winged Fulvetta","Schoeniparus castaneceps","","X","None","","","Diurnal","Diurnal","X"
"Rufous-throated Fulvetta","Schoeniparus rufogularis","","","None","X","","Diurnal","Diurnal","X"
"Rusty-capped Fulvetta","Schoeniparus dubius","","","None","","","Diurnal","Diurnal",""
"Puff-throated Babbler","Pellorneum ruficeps","X","X","None","","","Diurnal","Diurnal","X"
"Marsh Babbler","Pellorneum palustre","","","Assam Plains","","","Diurnal","Diurnal","X"
"Spot-throated Babbler","Pellorneum albiventre","","","None","","","Diurnal","Diurnal",""
"Buff-breasted Babbler","Pellorneum tickelli","","","None","","","Diurnal","Diurnal",""
"Rufous-vented Grass Babbler","Laticilla burnesii","","","Indus Plains","","","Diurnal","Diurnal","X"
"Swamp Grass Babbler","Laticilla cinerascens","","","Assam Plains","","","Diurnal","Diurnal","X"
"Abbott's Babbler","Malacocincla abbotti","","X","None","","","Diurnal","Diurnal","X"
"Streaked Wren Babbler","Gypsophila brevicaudata","","","None","","","Diurnal","Diurnal",""
"Eyebrowed Wren Babbler","Napothera epilepidota","","","None","","","Diurnal","Diurnal",""
"Long-billed Wren Babbler","Napothera malacoptila","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Brown-cheeked Fulvetta","Alcippe poioicephala","X","X","None","","","Diurnal","Diurnal","X"
