eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Kalij Pheasant,Lophura leucomelanos,kalphe,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,,,Kalij Pheasant,Lophura leucomelanos
Indian Peafowl,Pavo cristatus,compea,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,,,Low,Strong Increase,Moderate Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,None,Resident,,,Indian Peafowl,Pavo cristatus
Green Peafowl,Pavo muticus,grepea1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Endangered,Schedule-IV,Appendix II,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Uncertain,,1,Green Peafowl,Pavo muticus
Red Spurfowl,Galloperdix spadicea,redspu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,,,Red Spurfowl,Galloperdix spadicea
Painted Spurfowl,Galloperdix lunulata,paispu1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Wooded Habitat,Resident,,,Painted Spurfowl,Galloperdix lunulata
Gray Peacock-Pheasant,Polyplectron bicalcaratum,grypep2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,Appendix II,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,,,Grey Peacock Pheasant,Polyplectron bicalcaratum
Mountain Bamboo-Partridge,Bambusicola fytchii,mobpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,,,Mountain Bamboo Partridge,Bambusicola fytchii
Red Junglefowl,Gallus gallus,redjun,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,,,Red Junglefowl,Gallus gallus
Gray Junglefowl,Gallus sonneratii,grejun2,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,Appendix II,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,,,Grey Junglefowl,Gallus sonneratii
Gray Francolin,Ortygornis pondicerianus,gryfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident,,,Grey Francolin,Francolinus pondicerianus
Swamp Francolin,Ortygornis gularis,swafra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-IV,,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,1,,Swamp Francolin,Francolinus gularis
Chinese Francolin,Francolinus pintadeanus,chifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Temperate Forest,Resident,,,Chinese Francolin,Francolinus pintadeanus
Black Francolin,Francolinus francolinus,blkfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland and Scrub,Resident,,,Black Francolin,Francolinus francolinus
Painted Francolin,Francolinus pictus,paifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Resident,,,Painted Francolin,Francolinus pictus
Tibetan Snowcock,Tetraogallus tibetanus,tibsno1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,Appendix I,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident & Altitudinal Migrant,,,Tibetan Snowcock,Tetraogallus tibetanus
