eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Asian Barred Owlet,Glaucidium cuculoides,asbowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Asian Barred Owlet,Glaucidium cuculoides
Jungle Owlet,Glaucidium radiatum,junowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,,,Jungle Owlet,Glaucidium radiatum
Collared Owlet,Taenioptynx brodiei,colowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Collared Owlet,Taenioptynx brodiei
Spotted Owlet,Athene brama,spoowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,None,Resident,,,Spotted Owlet,Athene brama
Little Owl,Athene noctua,litowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Little Owl,Athene noctua
Forest Owlet,Athene blewitti,forowl1,Strigiformes,Strigidae (Owls),Endangered,Schedule-I,Appendix I,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Central India,Scrub,Resident,,,Forest Owlet,Athene blewitti
Mottled Wood-Owl,Strix ocellata,mowowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,Yes,No,Mainland India,Wooded Habitat,Resident,,,Mottled Wood Owl,Strix ocellata
Brown Wood-Owl,Strix leptogrammica,brwowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,,,Brown Wood Owl,Strix leptogrammica
Tawny Owl,Strix aluco,tawowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,1,Tawny Owl,Strix aluco
Himalayan Owl,Strix nivicolum,himowl1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Himalayan Owl,Strix nivicolum
Long-eared Owl,Asio otus,loeowl,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,None,Passage Migrant & Localized Summer Migrant,,1,Northern Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus,sheowl,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Vertebrate & Carrion,No,No,No,None,Grassland and Scrub,Winter Migrant,,,Short-eared Owl,Asio flammeus
Boreal Owl,Aegolius funereus,borowl,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Vertebrate & Carrion,No,No,No,None,Temperate Forest,Resident,,1,Boreal Owl,Aegolius funereus
Andaman Boobook,Ninox affinis,andhao1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Tropical Forest,Resident,,,Andaman Hawk Owl,Ninox affinis
Brown Boobook,Ninox scutulata,brnhao1,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,,,Brown Hawk Owl,Ninox scutulata
Hume's Boobook,Ninox obscura,brnhao3,Strigiformes,Strigidae (Owls),Least Concern,Schedule-IV,Appendix II,,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,None,Resident,,1,Hume's Hawk Owl,Ninox obscura
Malabar Trogon,Harpactes fasciatus,maltro1,Trogoniformes,Trogonidae (Trogons),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Tropical Forest,Resident,,,Malabar Trogon,Harpactes fasciatus
Red-headed Trogon,Harpactes erythrocephalus,rehtro1,Trogoniformes,Trogonidae (Trogons),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,1,,Red-headed Trogon,Harpactes erythrocephalus
Ward's Trogon,Harpactes wardi,wartro1,Trogoniformes,Trogonidae (Trogons),Near Threatened,Schedule-IV,,,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Temperate Forest,Resident,1,,Ward's Trogon,Harpactes wardi
Eurasian Hoopoe,Upupa epops,hoopoe,Bucerotiformes,Upupidae (Hoopoes),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident & Local Migrant,,,Common Hoopoe,Upupa epops
Great Hornbill,Buceros bicornis,grehor1,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-I,Appendix I,,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,1,,Great Hornbill,Buceros bicornis
Brown Hornbill,Anorrhinus austeni,brnhor1,Bucerotiformes,Bucerotidae (Hornbills),Near Threatened,Schedule-I,Appendix II,,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,1,,Austen's Brown Hornbill,Anorrhinus austeni
Indian Gray Hornbill,Ocyceros birostris,inghor2,Bucerotiformes,Bucerotidae (Hornbills),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,,,Indian Grey Hornbill,Ocyceros birostris
Malabar Gray Hornbill,Ocyceros griseus,maghor2,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Wooded Habitat,Resident,,,Malabar Grey Hornbill,Ocyceros griseus
Malabar Pied-Hornbill,Anthracoceros coronatus,maphor1,Bucerotiformes,Bucerotidae (Hornbills),Near Threatened,Schedule-I,Appendix II,,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,,,Malabar Pied Hornbill,Anthracoceros coronatus
Oriental Pied-Hornbill,Anthracoceros albirostris,orphor1,Bucerotiformes,Bucerotidae (Hornbills),Least Concern,Schedule-I,Appendix II,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,,Oriental Pied Hornbill,Anthracoceros albirostris
Rufous-necked Hornbill,Aceros nipalensis,runhor1,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-I,Appendix I,,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,1,,Rufous-necked Hornbill,Aceros nipalensis
Wreathed Hornbill,Rhyticeros undulatus,wrehor1,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-I,Appendix II,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,,,Wreathed Hornbill,Rhyticeros undulatus
Narcondam Hornbill,Rhyticeros narcondami,narhor1,Bucerotiformes,Bucerotidae (Hornbills),Vulnerable,Schedule-I,Appendix II,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman Islands,Tropical Forest,Resident,,,Narcondam Hornbill,Rhyticeros narcondami
Blyth's Kingfisher,Alcedo hercules,blykin1,Coraciiformes,Alcedinidae (Kingfishers),Near Threatened,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,,,Blyth's Kingfisher,Alcedo hercules
Common Kingfisher,Alcedo atthis,comkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,,,Common Kingfisher,Alcedo atthis
Blue-eared Kingfisher,Alcedo meninting,blekin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Tropical Forest,Resident,,,Blue-eared Kingfisher,Alcedo meninting
Black-backed Dwarf-Kingfisher,Ceyx erithaca,bkbkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident & Local Migrant,,,Oriental Dwarf Kingfisher,Ceyx erithaca
Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,rubkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,,1,Oriental Dwarf Kingfisher,Ceyx erithaca
Brown-winged Kingfisher,Pelargopsis amauroptera,bnwkin1,Coraciiformes,Alcedinidae (Kingfishers),Near Threatened,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Wetland,Resident,,,Brown-winged Kingfisher,Pelargopsis amauroptera
Stork-billed Kingfisher,Pelargopsis capensis,stbkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,,,Stork-billed Kingfisher,Pelargopsis capensis
Ruddy Kingfisher,Halcyon coromanda,rudkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident & Summer Migrant,,,Ruddy Kingfisher,Halcyon coromanda
White-throated Kingfisher,Halcyon smyrnensis,whtkin2,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,None,Resident,,,White-throated Kingfisher,Halcyon smyrnensis
Black-capped Kingfisher,Halcyon pileata,blckin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,1,,Black-capped Kingfisher,Halcyon pileata
Collared Kingfisher,Todiramphus chloris,colkin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Collared Kingfisher,Todiramphus chloris
Crested Kingfisher,Megaceryle lugubris,crekin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Wetland,Resident & Altitudinal Migrant,,,Crested Kingfisher,Megaceryle lugubris
Pied Kingfisher,Ceryle rudis,piekin1,Coraciiformes,Alcedinidae (Kingfishers),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Strong Decline,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Resident,,,Pied Kingfisher,Ceryle rudis
Blue-bearded Bee-eater,Nyctyornis athertoni,bbbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,,Blue-bearded Bee-eater,Nyctyornis athertoni
Green Bee-eater,Merops orientalis,grbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Resident,,,Green Bee-eater,Merops orientalis
Blue-throated Bee-eater,Merops viridis,btbeat2,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Uncertain,,1,Blue-throated Bee-eater,Merops viridis
Blue-cheeked Bee-eater,Merops persicus,bcbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland and Scrub,Summer Migrant,,,Blue-cheeked Bee-eater,Merops persicus
Blue-tailed Bee-eater,Merops philippinus,btbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident & Local Migrant,,,Blue-tailed Bee-eater,Merops philippinus
European Bee-eater,Merops apiaster,eubeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,Appendix II,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,,,European Bee-eater,Merops apiaster
Chestnut-headed Bee-eater,Merops leschenaulti,chbeat1,Coraciiformes,Meropidae (Bee-eaters),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Local Migrant,,,Chestnut-headed Bee-eater,Merops leschenaulti
European Roller,Coracias garrulus,eurrol1,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,,Appendix I,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Passage Migrant & Localized Summer Migrant,,,European Roller,Coracias garrulus
Indian Roller,Coracias benghalensis,indrol2,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,,,Low,Stable,Strong Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland and Scrub,Resident,,,Indian Roller,Coracias benghalensis
Indochinese Roller,Coracias affinis,indrol3,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Grassland and Scrub,Resident & Winter Migrant,,,Indochinese Roller,Coracias affinis
Dollarbird,Eurystomus orientalis,dollar1,Coraciiformes,Coraciidae (Rollers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,,,Dollarbird,Eurystomus orientalis
Malabar Barbet,Psilopogon malabaricus,crfbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Tropical Forest,Resident,,,Malabar Barbet,Psilopogon malabaricus
Coppersmith Barbet,Psilopogon haemacephalus,copbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,,Coppersmith Barbet,Psilopogon haemacephalus
Blue-eared Barbet,Psilopogon duvaucelii,blebar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Tropical Forest,Resident,,,Blue-eared Barbet,Psilopogon duvaucelii
Great Barbet,Psilopogon virens,grebar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Great Barbet,Psilopogon virens
Lineated Barbet,Psilopogon lineatus,linbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,,Lineated Barbet,Psilopogon lineatus
Brown-headed Barbet,Psilopogon zeylanicus,brhbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,None,Resident,,,Brown-headed Barbet,Psilopogon zeylanicus
White-cheeked Barbet,Psilopogon viridis,whcbar1,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Mainland India,None,Resident,,,White-cheeked Barbet,Psilopogon viridis
Golden-throated Barbet,Psilopogon franklinii,gotbar2,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,,,Golden-throated Barbet,Psilopogon franklinii
Blue-throated Barbet,Psilopogon asiaticus,bltbar2,Piciformes,Megalaimidae (Asian Barbets),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Wooded Habitat,Resident,,,Blue-throated Barbet,Psilopogon asiaticus
Yellow-rumped Honeyguide,Indicator xanthonotus,yerhon1,Piciformes,Indicatoridae (Honeyguides),Near Threatened,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Temperate Forest,Resident & Altitudinal Migrant,,,Yellow-rumped Honeyguide,Indicator xanthonotus
Eurasian Wryneck,Jynx torquilla,eurwry,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,None,Winter Migrant & Localized Summer Migrant,,,Eurasian Wryneck,Jynx torquilla
Speckled Piculet,Picumnus innominatus,spepic1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,,Speckled Piculet,Picumnus innominatus
White-browed Piculet,Sasia ochracea,whbpic3,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,,White-browed Piculet,Sasia ochracea
Heart-spotted Woodpecker,Hemicircus canente,heswoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,High,Strong Decline,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,,,Heart-spotted Woodpecker,Hemicircus canente
Brown-capped Pygmy Woodpecker,Yungipicus nanus,bncwoo3,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Wooded Habitat,Resident,,,Brown-capped Pygmy Woodpecker,Yungipicus nanus
Gray-capped Pygmy Woodpecker,Yungipicus canicapillus,gycwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Moderate,Uncertain,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident & Altitudinal Migrant,,,Grey-capped Pygmy Woodpecker,Yungipicus canicapillus
Yellow-crowned Woodpecker,Leiopicus mahrattensis,yecwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,High,Strong Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,,,Yellow-crowned Woodpecker,Leiopicus mahrattensis
Brown-fronted Woodpecker,Dendrocoptes auriceps,brfwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Wooded Habitat,Resident & Altitudinal Migrant,,,Brown-fronted Woodpecker,Dendrocoptes auriceps
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,rubwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Rufous-bellied Woodpecker,Dendrocopos hyperythrus
Fulvous-breasted Woodpecker,Dendrocopos macei,fubwoo2,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,,Fulvous-breasted Woodpecker,Dendrocopos macei
Freckle-breasted Woodpecker,Dendrocopos analis,frbwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,,,Freckle-breasted Woodpecker,Dendrocopos analis
Stripe-breasted Woodpecker,Dendrocopos atratus,stbwoo4,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,1,Stripe-breasted Woodpecker,Dendrocopos atratus
Darjeeling Woodpecker,Dendrocopos darjellensis,darwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Temperate Forest,Resident,1,,Darjeeling Woodpecker,Dendrocopos darjellensis
Great Spotted Woodpecker,Dendrocopos major,grswoo,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Temperate Forest,Resident,,1,Great Spotted Woodpecker,Dendrocopos major
Himalayan Woodpecker,Dendrocopos himalayensis,himwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Temperate Forest,Resident & Altitudinal Migrant,,,Himalayan Woodpecker,Dendrocopos himalayensis
Sind Woodpecker,Dendrocopos assimilis,sinwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wooded Habitat,Resident,,1,Sind Woodpecker,Dendrocopos assimilis
Crimson-breasted Woodpecker,Dryobates cathpharius,crbwoo3,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident,,,Crimson-breasted Woodpecker,Dryobates cathpharius
Bay Woodpecker,Blythipicus pyrrhotis,baywoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Resident & Altitudinal Migrant,,,Bay Woodpecker,Blythipicus pyrrhotis
Greater Flameback,Chrysocolaptes guttacristatus,grefla1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Tropical Forest,Resident,,,Greater Flameback,Chrysocolaptes guttacristatus
White-naped Woodpecker,Chrysocolaptes festivus,whnwoo1,Piciformes,Picidae (Woodpeckers),Least Concern,Schedule-IV,,,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Scrub,Resident,,,White-naped Woodpecker,Chrysocolaptes festivus
